2024-04-14 20:49:01,257 | WARNING | Can find lalabox on local network. Detail: list index out of range | root |  spotify_handler.py | spotify_handler | 87
2024-04-14 20:49:01,306 | INFO | Welcome Leo M ! | root |  spotify_handler.py | spotify_handler | 27
2024-04-14 20:49:01,919 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:01,951 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:01,953 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:01,982 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:01,984 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,011 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,012 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,033 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,033 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,054 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,055 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,075 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,076 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,096 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,097 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,117 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,118 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,138 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,139 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,160 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,160 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,181 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,182 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,203 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,204 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,224 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,225 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,246 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,247 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,268 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,269 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,290 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,291 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,311 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,312 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,333 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,334 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,354 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,355 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,375 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,376 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,396 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,397 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,417 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,417 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,437 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,438 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,458 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,459 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,479 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,479 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,500 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,500 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,520 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,521 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,541 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,542 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
